NOM PRP NOM PRP:det NOM PRP NOM ADJ PRP NOM NUM;6
NOM NUM PRP DET:ART NOM PRP:det NOM PRP:det NOM PRP NOM ADJ;6
NOM PRP NOM PRP:det NOM PRP NOM ADJ PRP DET:ART NOM;6
NOM PRP:det NOM NAM PRP NOM NUM;6
NAM ADV ADJ PRP NOM NUM;6
NOM ADJ ADJ PRP:det NOM ADJ ADJ;6
NOM ADJ VER:pper PRP DET:ART NUM;6
VER:pper PRP NAM;6
NOM ABR PRP NOM NUM;6
NOM ADJ PRP DET:ART ADJ NOM;5
NOM PRO:PER VER:ppre PRP:det NOM;5
NOM PRP DET:ART NOM PRP:det NOM PRP DET:ART NOM;5
ADV VER:pper;5
NOM ADJ KON PRP NOM;5
NOM VER:pper PRP PRP:det NOM;5
ADJ NOM ADJ NOM;5
NOM PRP:det NOM NOM PRP NOM NUM;5
NAM NAM VER:pres;5
NAM VER:pres NOM NOM;5
NOM NAM NAM NAM NAM;5
NOM NAM NOM NOM;5
NOM PRP DET:ART ADJ ADJ;5
NOM VER:pper PRP DET:ART NUM;5
NAM VER:futu NAM;5
NOM NOM ADJ KON ADJ;5
NOM ABR NUM;5
NOM NOM VER:simp;5
NOM PRP:det NOM PRP NOM PRP NOM;5
NOM ADJ PRP:det NOM NAM;5
NOM ADJ PRP DET:ART NOM PRP NOM ADJ;5
NOM VER:pper PRP DET:ART NOM PRP:det NOM;5
NOM PRP:det NOM PRP ADJ NOM;5
NOM PRP ADV ADJ NOM;5
NOM ADJ NOM ADJ ADJ;5
NOM PRP NOM VER:pper PRP NOM ADJ;5
NOM NOM VER:ppre;5
NOM PRP ADJ NAM;5
NOM NOM PRP NOM NOM;5
NOM NOM ADJ PRP:det NAM;5
NOM PRP DET:ART NOM ADJ PRP:det NAM;5
ABR PRP NOM ADJ;5
NOM NUM VER:pper;5
NOM PRP DET:ART NOM ADJ NAM;5
NOM ADJ NAM NAM;5
NOM NOM ADJ PRP:det NOM;5
NOM ADJ VER:simp NOM;5
NOM NOM ADJ NUM;5
NOM NOM KON NOM;5
ABR NAM NAM;5
NOM PRP NOM PRP NOM PRP NOM ADJ;5
NOM NAM NUM NOM;5
NOM ADJ NOM PRP NOM;5
NOM PRP NOM ADJ PRP NOM PRP NOM;5
NOM KON NOM PRP NOM ADJ;5
NAM PRP DET:ART NOM;5
NOM ADJ PRP DET:ART ADJ;5
NOM PRP:det NOM ADJ NOM;5
NOM PRP:det NOM PRP DET:ART NOM ADJ ADJ;5
NOM ADJ PRP NOM PRP DET:ART NOM;5
NOM PRP NOM ADJ ADJ ADJ;5
NOM PRP NAM VER:pres NUM;5
NOM ADJ PRP DET:ART NUM NOM ADJ;5
ADV PRP:det NOM;5
ADJ NOM PRP:det NOM ADJ;5
NOM VER:pper PRP:det NOM PRP DET:ART NOM;5
NOM ADJ PRP:det NOM PRP NOM ADJ;5
NOM PRP:det NOM ADJ ADJ VER:pper PRP:det NAM;5
NOM PRP NOM NUM ADJ ADJ;4
NOM PRP NOM NUM ADJ VER:ppre;4
NOM VER:pper PRP PRP:det NOM ADJ;4
NOM PRP:det NOM PRP:det NOM NAM;4
VER:simp ADJ;4
NAM VER:ppre;4
NOM VER:ppre DET:ART NOM NAM;4
NOM PRP:det NOM NOM NOM NAM;4
NOM ADJ ADJ NOM NAM;4
NOM VER:ppre DET:ART NOM PRP DET:ART NOM;4
ADJ PRP ADJ NOM;4
VER:ppre NOM;4
NOM PRP NOM PRP:det NOM ADJ ADJ;4
NOM VER:pres;4
NOM ADJ PRP ADJ;4
NOM NOM NUM NOM;4
NOM PRO:PER VER:ppre PRP DET:ART NOM;4
NOM ADJ VER:pper PRP DET:ART NOM NAM;4
NOM ADJ PRP:det ADJ;4
NOM VER:infi NOM;4
NOM PRO:PER VER:pres VER:pper;4
NOM PRP NOM ADJ ADV ADJ;4
NOM PRP NOM NOM PRP NOM;4
ADV PRP DET:ART NOM;4
NOM PRP:det NAM ADJ;4
NOM ADJ VER:ppre DET:ART NOM;4
NOM PRP NOM NOM NUM;4
NOM ADJ PRP ADJ KON ADJ NOM VER:pper;4
NOM VER:ppre NAM;4
NUM ADJ;4
NOM NUM PRP DET:ART NOM PRP:det NAM NOM;4
NOM KON NOM ADV ADJ;4
NOM NUM PRP DET:ART NOM PRP:det NAM;4
NOM ADJ VER:ppre PRP DET:ART NOM NOM PRP:det NAM PRP:det NOM NAM;4
NOM PRP:det NOM PRP:det NOM NOM PRP:det NAM PRP DET:ART NOM NAM;4
NOM ADJ VER:ppre PRP:det NOM;4
NOM PRP:det NOM PRP:det NOM ADJ PRP:det NOM ADJ PRP DET:ART NOM NAM;4
NOM PRP:det NOM PRP:det NOM ADJ PRP:det NOM ADJ PRP:det NOM NAM;4
NOM PRP:det NOM PRP:det NOM NOM PRP:det NOM ADJ PRP DET:ART NOM NAM;4
NOM PRP:det NOM PRP:det NOM NOM PRP:det NOM NAM;4
NOM PRP:det NOM PRP:det NOM NOM PRP:det NOM ADJ PRP:det NOM NAM;4
NOM PRP NOM NUM VER:ppre;4
NAM ADJ NOM NOM;4
NOM PRP:det NOM NUM PRP DET:ART NOM ADJ PRP NOM NAM;4
NOM ADJ ADJ PRP:det NOM PRP DET:ART NOM ADJ ADJ;4
NOM PRP DET:ART NUM NOM;4
NOM NOM ADV ADJ;4
NOM NOM PRP DET:ART NOM PRP:det NAM;4
NOM NUM PRP DET:ART NOM PRP NOM PRP NOM ADJ;4
NOM VER:pper PRP:det NOM PRP DET:ART NOM ADJ;4
NOM ADJ PRP:det NOM ADJ ADJ NOM;4
NOM PRP:det NOM ADJ ADJ NOM;4
NOM PRP NAM VER:pres NOM ADJ;4
ABR PRP DET:ART NOM ADJ ADJ;4
NOM NUM PRP DET:ART NOM ADJ ADJ;4
NOM ADJ PRP NOM VER:simp;4
VER:infi VER:pper;4
NOM NOM NAM NAM;4
NOM PRP NOM PRP NOM PRP NAM;4
NOM ADJ PRP NOM PRP:det NOM ADJ;4
NOM VER:pper PRP NOM NUM;4
NAM NAM NAM NUM;4
NOM ADJ ADJ ADJ PRP NOM NUM;4
NOM VER:pper PRP DET:ART NOM NAM;4
NOM PRP DET:ART NOM PRP:det NAM;4
NOM PRP DET:ART NOM ADJ KON ADJ;4
NOM PRP NOM PRP DET:ART NOM NAM;4
NOM PRP NOM PRP ADJ;4
NOM ADJ PRP NOM VER:pper;4
ADJ NOM PRP NOM NUM;4
NOM NUM PRP DET:ART NOM PRP:det NAM ADJ;4
NOM ADJ PRP:det ADJ NOM;4
NOM PRP NOM PRP:det NOM PRP:det NOM ADJ;4
NOM VER:pres VER:pper PRP DET:ART NOM;4
NOM PRP DET:ART ADJ NOM NOM ADJ;4
NOM PRP NOM ADJ KON ADJ;4
NOM PRP DET:ART NOM KON PRP DET:ART NOM;4
NAM ADJ NOM;4
ADJ PRP DET:ART NOM;4
NOM PRP NOM ADJ PRP NOM PRP NOM NAM;4
NOM PRP NOM NOM PRP NOM PRP NOM NAM;4
VER:pres ADJ ADJ;4
NOM NAM ADJ PRP:det NOM;4
NAM NOM NOM NOM;4
NOM ADJ ADJ PRP ADJ NOM;4
ABR ABR NOM;4
SYM;4
NOM PRO:PER VER:pres NAM;4
VER:simp NOM NOM;4
NOM PRP DET:ART NOM KON PRP:det NOM ADJ;4
NOM VER:ppre DET:ART NOM PRP NOM;4
NOM ADJ ADJ VER:pper PRP:det NAM;4
ABR PRP NOM NUM;4
NOM ADJ PRP NOM PRP NOM ADJ;3
NOM VER:pper NOM ADJ;3
NOM NOM VER:pper PRP:det NOM;3
VER:simp NOM NUM;3
NOM PRP NAM PRP NOM;3
NOM ADJ ADJ NOM ADJ;3
NOM ADJ ADJ VER:pper PRP:det NOM;3
NOM PRP:det PRO:PER;3
NOM PRP:det NOM PRP DET:ART NOM ADJ PRP NOM NAM;3
NOM PRP:det NOM NOM PRP NUM;3
NOM PRP PRP DET:ART NOM;3
NAM NOM NAM;3
NUM PUN NOM;3
NOM VER:ppre DET:ART NOM PRP:det NOM;3
NOM PRP NOM NUM VER:pper PRP NOM;3
VER:ppre NOM NOM;3
NOM PRP:det NOM ADJ KON ADJ;3
PRP NOM;3
NOM PRP NOM ADJ PRP ADJ NOM;3
NOM PRP NOM VER:pper PRP:det NAM;3
NOM PRP:det NOM ADJ ADJ ADJ;3
NOM PRP NAM PRP:det NOM;3
NOM PRP ADJ NOM NOM;3
NOM VER:pper PRP NOM ADV ADJ;3
NOM PRP NAM PRP NAM;3
NOM PRP:det NOM PRP VER:infi;3
NOM PRP:det NOM VER:pper PRP DET:ART NOM;3
PRO:DEM;3
NOM PRP:det NOM PRP:det NOM PRP:det NOM;3
NOM VER:pper PRP DET:ART NOM PRP DET:ART NOM;3
ADJ NOM VER:pper PRP DET:ART NOM PRP:det NOM ADJ;3
NOM PRP:det NOM ADJ KON PRP:det NOM ADJ;3
NAM NAM NAM VER:futu NAM;3
NOM PRP NAM PRP DET:ART NOM ADJ;3
ADJ NOM PRP DET:ART NOM PRP NAM;3
ADJ ADV VER:pper;3
NOM ADJ PRP NOM NOM ADJ;3
ADJ NOM PUN ADJ;3
NOM PRP VER:infi PRP NOM ADJ;3
NOM NOM ADJ PRP NOM NUM;3
NOM PRP NOM PRP NUM NOM;3
NOM VER:pper ADV;3
NOM ADV ADJ ADJ;3
NOM NUM NOM NOM;3
NUM NOM PRP:det NOM;3
NOM PRP DET:ART NOM ADJ PRP:det NOM ADJ;3
NOM PRP:det NOM KON NOM;3
NOM VER:simp NOM;3
ADJ NOM NOM NAM;3
NOM ADV PRP:det NOM PRP NOM;3
NOM ADJ VER:ppre PRP DET:ART NOM ADJ PRP:det NOM PRP:det NOM NAM;3
NOM PRP ADJ NOM NAM;3
NOM PRP NAM NAM NAM;3
NOM KON NOM PRP NOM PRP NOM;3
ADJ PRP NOM PRP DET:ART NOM;3
NOM PRP NOM PRP DET:ART NOM PRP DET:ART NOM;3
NOM KON NAM KON NAM;3
NOM VER:ppre PRP NOM;3
NAM NOM ADJ NOM;3
NOM ADJ ADJ ADV VER:pper;3
NOM NOM PRP NOM PRP:det NOM;3
NOM ADJ VER:pper PRP DET:ART NOM ADJ;3
NOM ADJ PRP ADJ NAM;3
NOM ADJ VER:subp NOM NUM;3
NOM PRP NAM PRP DET:ART NAM;3
NOM PRP DET:ART NOM VER:pper;3
NOM ADJ PRP NOM PRP:det NAM;3
NOM ADJ PRP:det NUM NOM;3
VER:pper PRP NOM PRP NOM ADJ;3
NOM PRP NOM PRP NOM ADJ ADJ;3
NOM PRP NOM ADJ PRP:det NOM ADJ;3
NOM PRP NOM NUM ADJ;3
NOM PRP NOM NUM NOM;3
VER:pper PRP:det NOM ADJ ADJ NOM;3
ADJ PRP NOM PRP:det NOM ADJ;3
NOM NUM NAM;3
NOM ADJ PRP:det NUM;3
NOM PRP:det NUM;3
