NP NP VLfin NC;83
NP DASH NC ADJ;83
NC PREP ADJ NC PREP NC;83
VLfin VLinf NC;83
NC CARD PREP ART NC;83
ADV NC;83
NC PREP NC ADJ DASH NC;83
NC PREP NC PDEL NP;83
NC ADJ PREP NC PDEL NC ADJ;82
NC CSUBI VLinf ART NC ADJ;82
NC ADJ PREP NC PREP ADJ;82
NC ADJ NC CARD;82
QU NC ADJ ADJ;82
NP DASH NP NC ADJ;82
NC ADJ ADJ PREP ART NC PREP ART NC;82
ADJ VLadj;82
VLfin PREP NC PDEL NC;81
NP NP NP PE;81
PE VLfin NC;81
NC PREP NC PREP ART NC ADJ ADJ;81
NC ADJ PREP ART ORD NC;81
NC CC NC PREP NC PREP NC;81
NC ADJ PREP NC NP;80
NC PREP ART NC ADJ PDEL NC NC;80
NC ALFS ADJ PREP NC;80
NC PREP NC PE DASH NP CARD NC;80
VLfin NC VLfin;80
NP NP DASH NC PREP VLadj;80
NP NEG VLadj;80
NC PREP ART NC NC PDEL NC;80
ADJ NP;79
NC ADJ PREP ART NC NC ADJ;79
NC PREP ART NC ALFS;79
NC ADJ ADJ PREP ART NC PDEL NC;79
VLfin PREP NC PREP ART NC ADJ;79
NC NC ADJ PREP ART NC;79
NC PREP;79
VLfin PDEL NC NC;79
NP DASH CARD;78
NC PREP NC ADJ PREP NC PDEL NC;78
NC CC NC PDEL NC;78
NC ADJ PREP NC ADJ VLadj;78
NC PDEL NC ADJ PREP NC ADJ;78
NC ADJ ADJ PREP NC NC;78
NP DASH NC NC;78
NC VLfin VLadj;78
NC PE PE NC;78
NC PREP NC PREP ART NC PREP ART NC;77
VLadj VLfin NP;77
VLfin ADJ PREP ART NC ADJ;77
VLfin NC ADJ PREP NC;77
NC NC DASH NC ADJ;77
NC NEG ADJ PREP NC;76
NC ADJ PREP NC NC ADJ;76
NC CC NC PREP ART NC ADJ;76
NC NC ADJ PDEL NC;76
NC PREP NC ADJ CC ADJ;76
NC PREP NC ADJ PREP NC PREP ART NC;75
NC ADJ PAL NC ADJ;75
NP NP NC ADJ;75
